wetbed_struct_gain,wetbed_struct_rate,wetbed_impact_release_rate,rmse_ml,velocity_rmse_mlps,drain_time_error_s,brew_time_s,drain_time_s,chi_max,ey_pct,score
0.45,0.08,1.2,13.50113473194006,1.1829511348102413,-0.85094549499442,107.11902113459399,134.14905450500558,0.27009922566865097,10.914157723265179,15.343637073754975
0.3,0.13,1.2,13.50200569624378,1.1831520887748206,-0.85094549499442,107.31924360400446,134.14905450500558,0.39618400176202073,10.914725908320849,15.344809469005565
0.15,0.1,0.0,13.498473436111254,1.1796752219183884,-1.0511679644048968,107.31924360400446,133.9488320355951,0.4988682453522513,10.911732335187047,15.352079706141229
0.7,0.1,0.6,13.308474589270283,1.1969748061113923,3.1535038932146904,109.32146829810901,138.1535038932147,0.34374509629085737,10.978672393355659,15.356217109894546
0.7,0.08,0.3,13.302567675540358,1.1938929514068473,3.353726362625139,109.52169076751947,138.35372636262514,0.29937808860439735,10.98263767442619,15.36170521166064
1.0,0.08,1.2,13.329660134425156,1.2016821835951461,2.953281423804242,109.12124582869856,137.95328142380424,0.27049542824097567,10.974951644405603,15.368445923722215
0.45,0.08,0.0,13.31875505212006,1.1987635070851237,3.754171301446064,109.92213570634038,138.75417130144606,0.4379501987139593,10.987434684960196,15.41723401686343
0.3,0.16,0.0,13.339461493756843,1.1973914068733431,3.5539488320356156,109.92213570634038,138.55394883203562,0.6369697907893633,10.985328720892394,15.419864510629708
1.0,0.03,1.2,13.548514156561437,1.181624350145522,-1.2513904338153452,107.11902113459399,133.74860956618465,0.11277375964909689,10.908708199381989,15.421061916484948
0.3,0.13,1.8,13.554170322038107,1.182589901093587,-1.2513904338153452,107.11902113459399,133.74860956618465,0.38018419550531757,10.90913942910256,15.428166408383715
0.15,0.16,0.3,13.54565864611653,1.178251735881565,-1.4516129032257936,107.11902113459399,133.5483870967742,0.4997918637268585,10.906000133300775,15.429165282196942
0.3,0.1,0.9,13.55898928851563,1.1807709507632873,-1.2513904338153452,107.11902113459399,133.74860956618465,0.3326630121577581,10.907800364386638,15.430256949365788
0.7,0.05,1.8,13.564025172866137,1.1828424916326374,-1.2513904338153452,107.11902113459399,133.74860956618465,0.17146065723816858,10.909337694373908,15.43840014502032
0.7,0.13,1.2,13.365821154417464,1.2037863889155909,3.353726362625139,109.52169076751947,138.35372636262514,0.39670795703832673,10.981103917495084,15.439798846800862
0.45,0.08,1.8,13.572942683705646,1.1827401109310585,-1.2513904338153452,107.11902113459399,133.74860956618465,0.25810145843808213,10.909035688480003,15.447164084807461
1.0,0.08,0.9,13.359857735882498,1.2020308371764599,3.5539488320356156,109.52169076751947,138.55394883203562,0.278076163534992,10.983712379518124,15.447219898210037
0.45,0.05,0.6,13.576272030707655,1.178413707262377,-1.4516129032257936,106.91879866518354,133.5483870967742,0.19201531114990678,10.904117907499252,15.460021623859284
0.3,0.08,0.6,13.57846238683284,1.1787472128851588,-1.4516129032257936,106.91879866518354,133.5483870967742,0.2870864477140688,10.904566335576424,15.462712238418641
1.0,0.03,0.0,13.3323010656272,1.2008450427887327,4.154616240266961,110.12235817575083,139.15461624026696,0.21066022062509415,10.994144640567223,15.465937929031657
0.15,0.08,0.0,13.586732813757301,1.1789902583197829,-1.4516129032257936,107.11902113459399,133.5483870967742,0.43525300374411807,10.905663868190016,15.47134723349504
0.3,0.1,1.2,13.598392019278746,1.1807070974306457,-1.4516129032257936,106.91879866518354,133.5483870967742,0.3237293925544197,10.90415561906945,15.485581697682779
0.7,0.03,0.6,13.591896971635526,1.1782755448917783,-1.651835372636242,106.91879866518354,133.34816462736376,0.12072108985231997,10.902802472659001,15.491457118784094
0.45,0.16,0.3,13.38323705321765,1.1973608861709661,3.9543937708565124,109.92213570634038,138.9543937708565,0.5003851225094272,10.989635967214348,15.49562988414262
1.0,0.1,1.8,13.410077971753987,1.2078680345069917,3.5539488320356156,109.52169076751947,138.55394883203562,0.31059686289513855,10.984506828590996,15.506195930077324
1.0,0.03,1.8,13.628668017743545,1.1817351437199533,-1.4516129032257936,106.91879866518354,133.5483870967742,0.10724130416780574,10.904048782084486,15.517399765581539
